Type,TypeEn,Message,Choice,Euro,Icon
Diafhmish,Advertisement,Variesai sta dialeimmata des TikTok,Poulise tin gia 20 Euro,20,tiktok.png
Diafhmish,Advertisement,Des Netflix ase tin scholi,Poulise tin gia 20 Euro,20,netflix.jpg
Diafhmish,Advertisement,Ase to Theio Diavase Java,Poulise tin gia 20 Euro,0,theios.jpg
Diafhmish,Advertisement,Java... Poia Amstel?,Poulise tin gia 20 Euro,0,amstel.jpg
Diafhmish,Advertisement,29 kataskevastes plynthriwn synistoyn Skip,Poulise tin gia 20 Euro,0,skip.png
Diafhmish,Advertisement,11888 Super Arithmos,Poulise tin gia 20 Euro,0,enteka.jpg
Diafhmish,Advertisement,Moirasou mia Coca Cola me ton symfoitoith sou ,Poulise tin gia 20 Euro,0,cola.png
Diafhmish,Advertisement,Gia na einai i mera sou wraia Oreo!,Πουλησε την για 20 Ευρώ,20,oreo.jpeg
Eksoflhsh Logariasmoy,Bill,Plhrwmh 500 Euro gia thn prwth dosh tou ENFIA, Krata to Logariasmo,500,enfia.jpg
Eksoflhsh Logariasmoy,Bill,Plhrwmh 50 Euro gia ton Logariasmo Thlefwnou, Krata to Logariasmo,50,cosmote.jpg
Eksoflhsh Logariasmoy,Bill,Plhrwmh 200 Euro gia ton Logariasmo ths DEH, Krata to Logariasmo,200,deh.jpg
Eksoflhsh Logariasmoy,Bill,Plhrwmh 1500 Euro gia thn prokatavolh tou aftokinhtou, Krata to Logariasmo,1500,car.png
Eksoflhsh Logariasmoy,Bill,Plhrwmh 250 Euro gia to Enoikio, Krata to Logariasmo,250,enoikio.jpg
Eksoflhsh Logariasmoy,Bill,Plhrwmh 1000 Euro gia th dosh tou Stegastikoy Daneiou, Krata to Logariasmo,1000,daneio.jpg
Eksoflhsh Logariasmoy,Bill,Plhrwmh 200 Euro gia thn asfaleia tou aftokinhtou, Krata to Logariasmo,200,asfaleia.jpg
Eksoflhsh Logariasmoy,Bill,Plhrwmh 500 Euro gia thn dosh ths Eforias, Krata to Logariasmo,500,eforia.jpg
Filanthrwpia,Charity,Diaswsh xelwnas Kareta-Kareta, Plhrwse 50 Euro sto Jackpot,50,caretta.jpg
Filanthrwpia,Charity,Swse ta adespota, Plhrwse 100 Euro sto Jackpot,100,adespoto.jpg
